tag_id	tag_title	variable_phv	creator_id	created	modified
2	HDL in blood	82952	5	2017-12-20 22:06:09+00:00	2017-12-20 22:06:09+00:00
2	HDL in blood	84972	5	2017-12-20 22:06:09+00:00	2017-12-20 22:06:09+00:00
2	HDL in blood	87099	5	2017-12-20 22:06:09+00:00	2017-12-20 22:06:09+00:00
1	LDL in blood	82951	5	2017-12-20 22:10:23+00:00	2017-12-20 22:10:23+00:00
1	LDL in blood	84971	5	2017-12-20 22:10:23+00:00	2017-12-20 22:10:23+00:00
1	LDL in blood	87098	5	2017-12-20 22:10:23+00:00	2017-12-20 22:10:23+00:00
3	Triglycerides in blood	87101	5	2017-12-20 22:11:59+00:00	2017-12-20 22:13:35+00:00
3	Triglycerides in blood	82950	5	2017-12-20 22:12:46+00:00	2017-12-20 22:12:46+00:00
3	Triglycerides in blood	84968	5	2017-12-20 22:13:06+00:00	2017-12-20 22:13:06+00:00
4	Total cholesterol in blood	84974	5	2017-12-20 22:17:41+00:00	2017-12-20 22:17:41+00:00
4	Total cholesterol in blood	82956	5	2017-12-20 22:18:13+00:00	2017-12-20 22:18:13+00:00
4	Total cholesterol in blood	87100	5	2017-12-20 22:18:51+00:00	2017-12-20 22:18:51+00:00
1	LDL in blood	253017	16	2017-12-22 18:09:21+00:00	2017-12-22 18:09:21+00:00
1	LDL in blood	125931	16	2017-12-22 18:14:28+00:00	2017-12-22 18:14:28+00:00
1	LDL in blood	126042	16	2017-12-22 18:14:28+00:00	2017-12-22 18:14:28+00:00
1	LDL in blood	126047	16	2017-12-22 18:14:28+00:00	2017-12-22 18:14:28+00:00
2	HDL in blood	126041	16	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00
2	HDL in blood	126046	16	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00
2	HDL in blood	125930	16	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00
2	HDL in blood	253018	16	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00
2	HDL in blood	277575	16	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00
2	HDL in blood	307856	16	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00
3	Triglycerides in blood	125933	16	2017-12-22 18:29:07+00:00	2017-12-22 18:29:07+00:00
3	Triglycerides in blood	277574	16	2017-12-22 18:35:25+00:00	2017-12-22 18:35:25+00:00
3	Triglycerides in blood	126043	16	2017-12-22 18:38:23+00:00	2017-12-22 18:38:23+00:00
3	Triglycerides in blood	126048	16	2017-12-22 18:38:23+00:00	2017-12-22 18:38:23+00:00
3	Triglycerides in blood	253019	16	2017-12-22 18:38:23+00:00	2017-12-22 18:38:23+00:00
3	Triglycerides in blood	307855	16	2017-12-22 18:38:23+00:00	2017-12-22 18:38:23+00:00
4	Total cholesterol in blood	126040	16	2017-12-22 18:40:52+00:00	2017-12-22 18:40:52+00:00
4	Total cholesterol in blood	126045	16	2017-12-22 18:40:52+00:00	2017-12-22 18:40:52+00:00
4	Total cholesterol in blood	125927	16	2017-12-22 18:40:52+00:00	2017-12-22 18:40:52+00:00
4	Total cholesterol in blood	253020	16	2017-12-22 18:40:52+00:00	2017-12-22 18:40:52+00:00
4	Total cholesterol in blood	277573	16	2017-12-22 18:40:52+00:00	2017-12-22 18:40:52+00:00
4	Total cholesterol in blood	307854	16	2017-12-22 18:40:52+00:00	2017-12-22 18:40:52+00:00
3	Triglycerides in blood	204738	17	2017-12-22 22:48:33+00:00	2017-12-22 22:48:33+00:00
2	HDL in blood	204761	17	2017-12-22 22:49:33+00:00	2017-12-22 22:49:33+00:00
4	Total cholesterol in blood	204735	17	2017-12-22 22:50:20+00:00	2017-12-22 22:50:20+00:00
1	LDL in blood	204764	17	2017-12-22 22:54:23+00:00	2017-12-22 22:54:23+00:00
3	Triglycerides in blood	100425	17	2017-12-22 22:55:37+00:00	2017-12-22 22:55:37+00:00
4	Total cholesterol in blood	100491	17	2017-12-22 22:56:24+00:00	2017-12-22 22:56:24+00:00
2	HDL in blood	100426	17	2017-12-22 22:56:56+00:00	2017-12-22 22:56:56+00:00
1	LDL in blood	100492	17	2017-12-22 22:59:20+00:00	2017-12-22 22:59:20+00:00
3	Triglycerides in blood	123974	17	2017-12-22 23:01:08+00:00	2017-12-22 23:01:08+00:00
4	Total cholesterol in blood	123953	17	2017-12-22 23:01:37+00:00	2017-12-22 23:01:37+00:00
2	HDL in blood	123968	17	2017-12-22 23:02:07+00:00	2017-12-22 23:02:07+00:00
3	Triglycerides in blood	258736	17	2017-12-22 23:03:39+00:00	2017-12-22 23:03:39+00:00
2	HDL in blood	258743	17	2017-12-22 23:04:09+00:00	2017-12-22 23:04:09+00:00
4	Total cholesterol in blood	258733	17	2017-12-22 23:04:38+00:00	2017-12-22 23:04:38+00:00
1	LDL in blood	258740	17	2017-12-22 23:07:14+00:00	2017-12-22 23:07:14+00:00
1	LDL in blood	123971	17	2017-12-22 23:08:47+00:00	2017-12-22 23:08:47+00:00
7	Resting arm systolic BP	226390	17	2017-12-26 20:47:32+00:00	2017-12-26 20:47:32+00:00
8	Resting arm diastolic BP	226391	17	2017-12-26 20:47:50+00:00	2017-12-26 20:47:50+00:00
8	Resting arm diastolic BP	259053	5	2017-12-27 17:37:35+00:00	2017-12-27 17:37:35+00:00
7	Resting arm systolic BP	259052	5	2017-12-27 17:38:18+00:00	2017-12-27 17:38:18+00:00
8	Resting arm diastolic BP	258704	5	2017-12-27 17:50:35+00:00	2017-12-27 17:50:35+00:00
8	Resting arm diastolic BP	258703	5	2017-12-27 17:50:54+00:00	2017-12-27 17:50:54+00:00
7	Resting arm systolic BP	258702	5	2017-12-27 17:51:04+00:00	2017-12-27 17:51:04+00:00
7	Resting arm systolic BP	258701	5	2017-12-27 17:51:34+00:00	2017-12-27 17:51:34+00:00
7	Resting arm systolic BP	252995	17	2017-12-27 20:57:20+00:00	2017-12-27 20:57:20+00:00
8	Resting arm diastolic BP	252996	17	2017-12-27 20:57:59+00:00	2017-12-27 20:57:59+00:00
7	Resting arm systolic BP	122561	17	2017-12-27 23:03:26+00:00	2017-12-27 23:03:26+00:00
7	Resting arm systolic BP	122563	17	2017-12-27 23:03:34+00:00	2017-12-27 23:03:34+00:00
7	Resting arm systolic BP	122647	17	2017-12-27 23:03:41+00:00	2017-12-27 23:03:41+00:00
8	Resting arm diastolic BP	122562	17	2017-12-27 23:04:02+00:00	2017-12-27 23:04:02+00:00
8	Resting arm diastolic BP	122564	17	2017-12-27 23:04:08+00:00	2017-12-27 23:04:08+00:00
8	Resting arm diastolic BP	122648	17	2017-12-27 23:04:16+00:00	2017-12-27 23:04:16+00:00
7	Resting arm systolic BP	100435	17	2018-01-08 21:26:58+00:00	2018-01-08 21:26:58+00:00
8	Resting arm diastolic BP	100436	17	2018-01-08 21:27:18+00:00	2018-01-08 21:27:18+00:00
1	LDL in blood	193862	16	2018-01-12 23:42:13+00:00	2018-01-12 23:42:13+00:00
2	HDL in blood	193862	16	2018-01-12 23:42:38+00:00	2018-01-12 23:42:38+00:00
3	Triglycerides in blood	193862	16	2018-01-12 23:42:46+00:00	2018-01-12 23:42:46+00:00
4	Total cholesterol in blood	193862	16	2018-01-12 23:42:55+00:00	2018-01-12 23:42:55+00:00
1	LDL in blood	282937	16	2018-01-12 23:44:11+00:00	2018-01-12 23:44:11+00:00
2	HDL in blood	282937	16	2018-01-12 23:44:18+00:00	2018-01-12 23:44:18+00:00
3	Triglycerides in blood	282937	16	2018-01-12 23:44:24+00:00	2018-01-12 23:44:24+00:00
4	Total cholesterol in blood	282937	16	2018-01-12 23:44:33+00:00	2018-01-12 23:44:33+00:00
7	Resting arm systolic BP	112494	16	2018-01-12 23:51:49+00:00	2018-01-12 23:51:49+00:00
8	Resting arm diastolic BP	112495	16	2018-01-12 23:52:09+00:00	2018-01-12 23:52:09+00:00
