variable_phv	tag_id	ncit	hpo	mondo	efo	oba	variable	data_set	study
82951	1	NCIT:C105588				OBA:VT0000181	phv00082951.v1.p3	pht001111.v4.p3	phs000209.v13.p3
84971	1	NCIT:C105588				OBA:VT0000181	phv00084971.v2.p3	pht001116.v10.p3	phs000209.v13.p3
87098	1	NCIT:C105588				OBA:VT0000181	phv00087098.v1.p3	pht001121.v3.p3	phs000209.v13.p3
253017	1	NCIT:C105588				OBA:VT0000181	phv00253017.v1.p1	pht005002.v1.p1	phs000956.v2.p1
125931	1	NCIT:C105588				OBA:VT0000181	phv00125931.v1.p1	pht001945.v1.p1	phs000286.v5.p1
126042	1	NCIT:C105588				OBA:VT0000181	phv00126042.v1.p1	pht001949.v1.p1	phs000286.v5.p1
126047	1	NCIT:C105588				OBA:VT0000181	phv00126047.v1.p1	pht001949.v1.p1	phs000286.v5.p1
204764	1	NCIT:C105588				OBA:VT0000181	phv00204764.v1.p1	pht004063.v1.p1	phs000280.v3.p1
100492	1	NCIT:C105588				OBA:VT0000181	phv00100492.v1.p1	pht001452.v1.p1	phs000287.v6.p1
258740	1	NCIT:C105588				OBA:VT0000181	phv00258740.v1.p1	pht005253.v1.p1	phs000914.v1.p1
123971	1	NCIT:C105588				OBA:VT0000181	phv00123971.v1.p1	pht001902.v1.p1	phs000284.v1.p1
193862	1	NCIT:C105588				OBA:VT0000181	phv00193862.v3.p3	pht003419.v3.p3	phs000200.v11.p3
282937	1	NCIT:C105588				OBA:VT0000181	phv00282937.v1.p3	pht003419.v3.p3	phs000200.v11.p3
1206	1	NCIT:C105588				OBA:VT0000181	phv00001206.v1.p10	pht000011.v3.p10	phs000007.v29.p10
1381	1	NCIT:C105588				OBA:VT0000181	phv00001381.v1.p10	pht000012.v3.p10	phs000007.v29.p10
1401	1	NCIT:C105588				OBA:VT0000181	phv00001401.v1.p10	pht000012.v3.p10	phs000007.v29.p10
1584	1	NCIT:C105588				OBA:VT0000181	phv00001584.v1.p10	pht000013.v3.p10	phs000007.v29.p10
1591	1	NCIT:C105588				OBA:VT0000181	phv00001591.v1.p10	pht000013.v3.p10	phs000007.v29.p10
7539	1	NCIT:C105588				OBA:VT0000181	phv00007539.v5.p10	pht000030.v7.p10	phs000007.v29.p10
7975	1	NCIT:C105588				OBA:VT0000181	phv00007975.v5.p10	pht000031.v7.p10	phs000007.v29.p10
8733	1	NCIT:C105588				OBA:VT0000181	phv00008733.v5.p10	pht000032.v6.p10	phs000007.v29.p10
277026	1	NCIT:C105588				OBA:VT0000181	phv00277026.v1.p10	pht006026.v1.p10	phs000007.v29.p10
277027	1	NCIT:C105588				OBA:VT0000181	phv00277027.v1.p10	pht006026.v1.p10	phs000007.v29.p10
277104	1	NCIT:C105588				OBA:VT0000181	phv00277104.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277105	1	NCIT:C105588				OBA:VT0000181	phv00277105.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277106	1	NCIT:C105588				OBA:VT0000181	phv00277106.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277107	1	NCIT:C105588				OBA:VT0000181	phv00277107.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277108	1	NCIT:C105588				OBA:VT0000181	phv00277108.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277109	1	NCIT:C105588				OBA:VT0000181	phv00277109.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277110	1	NCIT:C105588				OBA:VT0000181	phv00277110.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277111	1	NCIT:C105588				OBA:VT0000181	phv00277111.v1.p10	pht006027.v1.p10	phs000007.v29.p10
277112	1	NCIT:C105588				OBA:VT0000181	phv00277112.v1.p10	pht006027.v1.p10	phs000007.v29.p10
253241	1	NCIT:C105588				OBA:VT0000181	phv00253241.v1.p1	pht004715.v1.p1	phs000810.v1.p1
204641	1	NCIT:C105588				OBA:VT0000181	phv00204641.v1.p1	pht004062.v1.p1	phs000280.v3.p1
204650	1	NCIT:C105588				OBA:VT0000181	phv00204650.v1.p1	pht004062.v1.p1	phs000280.v3.p1
204768	1	NCIT:C105588				OBA:VT0000181	phv00204768.v1.p1	pht004063.v1.p1	phs000280.v3.p1
204868	1	NCIT:C105588				OBA:VT0000181	phv00204868.v1.p1	pht004064.v1.p1	phs000280.v3.p1
204869	1	NCIT:C105588				OBA:VT0000181	phv00204869.v1.p1	pht004064.v1.p1	phs000280.v3.p1
204960	1	NCIT:C105588				OBA:VT0000181	phv00204960.v1.p1	pht004065.v1.p1	phs000280.v3.p1
204967	1	NCIT:C105588				OBA:VT0000181	phv00204967.v1.p1	pht004065.v1.p1	phs000280.v3.p1
113703	1	NCIT:C105588				OBA:VT0000181	phv00113703.v2.p2	pht001588.v2.p2	phs000285.v3.p2
115101	1	NCIT:C105588				OBA:VT0000181	phv00115101.v2.p2	pht001644.v2.p2	phs000285.v3.p2
116372	1	NCIT:C105588				OBA:VT0000181	phv00116372.v2.p2	pht001695.v2.p2	phs000285.v3.p2
117573	1	NCIT:C105588				OBA:VT0000181	phv00117573.v2.p2	pht001742.v2.p2	phs000285.v3.p2
119616	1	NCIT:C105588				OBA:VT0000181	phv00119616.v2.p2	pht001802.v2.p2	phs000285.v3.p2
120671	1	NCIT:C105588				OBA:VT0000181	phv00120671.v2.p2	pht001848.v2.p2	phs000285.v3.p2
207664	1	NCIT:C105588				OBA:VT0000181	phv00207664.v1.p1	pht004123.v1.p1	phs000280.v3.p1
207680	1	NCIT:C105588				OBA:VT0000181	phv00207680.v1.p1	pht004124.v1.p1	phs000280.v3.p1
160493	1	NCIT:C105588				OBA:VT0000181	phv00160493.v1.p3	pht001116.v10.p3	phs000209.v13.p3
85919	1	NCIT:C105588				OBA:VT0000181	phv00085919.v2.p3	pht001118.v8.p3	phs000209.v13.p3
